1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
"((15, 15), 1)","((16, 15), 2)","((17, 16), 3)","((18, 16), 4)","((19, 16), 5)","((20, 15), 6)","((21, 14), 7)","((22, 14), 8)","((23, 14), 9)","((24, 14), 10)","((25, 14), 11)","((26, 14), 12)","((27, 14), 13)","((28, 15), 14)","((29, 16), 15)","((29, 17), 16)","((30, 18), 17)","((31, 18), 18)","((32, 18), 19)","((33, 17), 20)","((33, 16), 21)","((33, 15), 22)","((34, 14), 23)",,,,
"((16, 15), 1)","((17, 16), 2)","((18, 16), 3)","((19, 16), 4)","((20, 15), 5)","((21, 15), 6)","((22, 15), 7)","((23, 15), 8)","((24, 15), 9)","((25, 15), 10)","((26, 15), 11)","((27, 15), 12)","((28, 15), 13)","((29, 16), 14)","((29, 17), 15)","((30, 18), 16)","((31, 18), 17)","((32, 18), 18)","((33, 17), 19)","((34, 16), 20)","((35, 15), 21)",,,,,,
"((17, 17), 1)","((18, 16), 2)","((19, 16), 3)","((20, 15), 4)","((21, 15), 5)","((22, 15), 6)","((23, 15), 7)","((24, 15), 8)","((25, 15), 9)","((26, 15), 10)","((27, 15), 11)","((28, 15), 12)","((29, 16), 13)","((29, 17), 14)","((30, 18), 15)","((31, 18), 16)","((32, 18), 17)","((33, 17), 18)","((34, 16), 19)","((35, 15), 20)","((36, 15), 21)","((37, 15), 22)",,,,,
"((16, 16), 1)","((17, 17), 2)","((18, 17), 3)","((19, 17), 4)","((20, 16), 5)","((21, 16), 6)","((22, 16), 7)","((23, 16), 8)","((24, 16), 9)","((25, 16), 10)","((26, 16), 11)","((27, 16), 12)","((28, 16), 13)","((29, 15), 14)","((29, 14), 15)","((29, 15), 16)","((29, 16), 17)","((29, 17), 18)","((30, 18), 19)","((31, 18), 20)","((32, 18), 21)","((33, 17), 22)","((34, 16), 23)","((35, 16), 24)",,,
"((17, 18), 1)","((18, 17), 2)","((19, 17), 3)","((20, 16), 4)","((21, 16), 5)","((22, 16), 6)","((23, 16), 7)","((24, 16), 8)","((25, 16), 9)","((26, 16), 10)","((27, 16), 11)","((28, 16), 12)","((29, 17), 13)","((30, 18), 14)","((31, 18), 15)","((32, 18), 16)","((33, 17), 17)","((34, 16), 18)","((35, 16), 19)","((36, 16), 20)","((37, 16), 21)",,,,,,
"((16, 17), 1)","((17, 18), 2)","((18, 18), 3)","((19, 18), 4)","((20, 17), 5)","((21, 17), 6)","((22, 17), 7)","((23, 17), 8)","((24, 17), 9)","((25, 17), 10)","((26, 17), 11)","((27, 17), 12)","((28, 17), 13)","((29, 18), 14)","((30, 19), 15)","((31, 19), 16)","((32, 19), 17)","((33, 18), 18)","((34, 17), 19)","((35, 16), 20)","((36, 16), 21)","((36, 15), 22)","((36, 14), 23)",,,,
"((17, 16), 1)","((16, 16), 2)","((17, 17), 3)","((18, 17), 4)","((19, 17), 5)","((20, 16), 6)","((21, 16), 7)","((22, 16), 8)","((23, 16), 9)","((24, 16), 10)","((25, 16), 11)","((26, 16), 12)","((27, 16), 13)","((28, 16), 14)","((29, 15), 15)","((29, 16), 16)","((29, 17), 17)","((30, 18), 18)","((31, 18), 19)","((32, 18), 20)","((33, 17), 21)","((34, 16), 22)","((35, 16), 23)","((36, 16), 24)",,,
"((15, 17), 1)","((16, 17), 2)","((17, 18), 3)","((18, 18), 4)","((19, 18), 5)","((20, 17), 6)","((21, 17), 7)","((22, 17), 8)","((23, 17), 9)","((24, 17), 10)","((25, 17), 11)","((26, 17), 12)","((27, 17), 13)","((28, 17), 14)","((28, 16), 15)","((28, 15), 16)","((29, 15), 17)","((29, 16), 18)","((29, 17), 19)","((30, 18), 20)","((31, 18), 21)","((32, 18), 22)","((33, 17), 23)","((34, 16), 24)","((34, 15), 25)","((35, 14), 26)",
"((16, 18), 1)","((17, 19), 2)","((18, 19), 3)","((19, 19), 4)","((20, 18), 5)","((21, 18), 6)","((22, 18), 7)","((23, 18), 8)","((24, 18), 9)","((25, 18), 10)","((26, 18), 11)","((27, 18), 12)","((28, 18), 13)","((29, 19), 14)","((29, 18), 15)","((30, 19), 16)","((31, 19), 17)","((32, 19), 18)","((33, 18), 19)","((34, 17), 20)","((35, 16), 21)","((35, 15), 22)","((36, 15), 23)",,,,
"((15, 16), 1)","((15, 15), 2)","((16, 15), 3)","((17, 16), 4)","((18, 16), 5)","((19, 16), 6)","((20, 15), 7)","((21, 15), 8)","((22, 15), 9)","((23, 15), 10)","((24, 15), 11)","((25, 15), 12)","((26, 15), 13)","((27, 15), 14)","((28, 15), 15)","((29, 14), 16)","((29, 13), 17)","((29, 14), 18)","((29, 15), 19)","((29, 16), 20)","((29, 17), 21)","((30, 18), 22)","((31, 18), 23)","((32, 18), 24)","((33, 17), 25)","((33, 16), 26)","((34, 15), 27)"
